id	x	y	status	Site	Desert
539	31.018	58.808	Dead	Burned	Sonora
540	31.547	60.051	Dead	Burned	Sonora
541	33.553	61.427	Dead	Burned	Sonora
542	33.913	63.753	Dead	Burned	Sonora
543	37.341	60.143	Dead	Burned	Sonora
544	39.187	62.608	Dead	Burned	Sonora
545	40.324	60.328	Dead	Burned	Sonora
546	33.559	56.695	Dead	Burned	Sonora
547	34.646	54.907	Dead	Burned	Sonora
548	40.437	55.822	Dead	Burned	Sonora
549	41.131	56.904	Dead	Burned	Sonora
550	42.177	52.396	Dead	Burned	Sonora
551	43.244	54.201	Dead	Burned	Sonora
552	57.574	46.590	Dead	Burned	Sonora
553	56.158	43.021	Dead	Burned	Sonora
554	60.060	46.685	Dead	Burned	Sonora
555	63.179	45.764	Dead	Burned	Sonora
556	63.097	47.542	Dead	Burned	Sonora
557	70.735	48.840	Dead	Burned	Sonora
558	71.519	50.175	Dead	Burned	Sonora
559	73.936	48.929	Dead	Burned	Sonora
560	74.869	48.403	Dead	Burned	Sonora
561	77.568	46.735	Dead	Burned	Sonora
562	78.252	45.797	Dead	Burned	Sonora
563	79.597	52.470	Dead	Burned	Sonora
564	81.707	54.859	Dead	Burned	Sonora
565	81.358	43.348	Dead	Burned	Sonora
566	79.414	44.294	Dead	Burned	Sonora
567	73.159	43.718	Dead	Burned	Sonora
568	70.024	34.337	Dead	Burned	Sonora
569	64.621	33.210	Dead	Burned	Sonora
570	64.136	31.527	Dead	Burned	Sonora
571	63.488	31.314	Dead	Burned	Sonora
572	63.959	40.894	Dead	Burned	Sonora
573	62.996	42.845	Dead	Burned	Sonora
574	61.899	41.622	Dead	Burned	Sonora
575	59.934	41.531	Dead	Burned	Sonora
576	56.827	40.831	Dead	Burned	Sonora
577	58.881	36.319	Dead	Burned	Sonora
578	55.167	35.681	Dead	Burned	Sonora
579	53.470	31.712	Dead	Burned	Sonora
580	52.818	27.425	Dead	Burned	Sonora
581	50.230	30.320	Dead	Burned	Sonora
582	47.083	22.563	Dead	Burned	Sonora
583	47.980	21.465	Dead	Burned	Sonora
